-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::any         0.23%       1.816ms         1.01%       8.110ms      63.357us     482.234us         0.08%     482.234us       3.767us           0 b           0 b      64.00 Kb      64.00 Kb           128            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     482.234us         0.08%     482.234us       3.767us           0 b           0 b           0 b           0 b           128            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     479.236us         0.08%     479.236us       1.561us           0 b           0 b           0 b           0 b           307            --  
                                    doAggPairCollisions         0.00%       0.000us         0.00%       0.000us       0.000us     463.264us         0.08%     463.264us      14.477us           0 b           0 b           0 b           0 b            32            --  
                          artiSolveSelfConstraintsTGS1T         0.00%       0.000us         0.00%       0.000us       0.000us     462.521us         0.08%     462.521us       2.891us           0 b           0 b           0 b           0 b           160            --  
                               aten::linalg_vector_norm         0.24%       1.941ms         0.33%       2.676ms      23.680us     460.544us         0.08%     460.544us       4.076us           0 b           0 b       1.52 Mb       1.52 Mb           113            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     460.544us         0.08%     460.544us       4.076us           0 b           0 b           0 b           0 b           113            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     457.086us         0.08%     457.086us      13.851us           0 b           0 b           0 b           0 b            33            --  
                  propagateAverageSolverBodyVelocityTGS         0.00%       0.000us         0.00%       0.000us       0.000us     455.841us         0.08%     455.841us       3.561us           0 b           0 b           0 b           0 b           128            --  
                   artiSolveInternalTendonConstraints1T         0.00%       0.000us         0.00%       0.000us       0.000us     441.924us         0.08%     441.924us       2.762us           0 b           0 b           0 b           0 b           160            --  
                                              aten::neg         0.34%       2.713ms         1.57%      12.524ms      71.160us     410.555us         0.07%     410.555us       2.333us           0 b           0 b      33.02 Mb      33.02 Mb           176            --  
$SatelliteVec__compute_observations__noise_and_clamp...         0.00%       0.000us         0.00%       0.000us       0.000us     407.390us         0.07%     407.390us      25.462us           0 b           0 b           0 b           0 b            16            --  
                              aten::_local_scalar_dense         0.17%       1.341ms         0.51%       4.090ms       5.264us     391.932us         0.07%     391.932us       0.504us           0 b           0 b           0 b           0 b           777            --  
                                    copyOrApplyArtiData         0.00%       0.000us         0.00%       0.000us       0.000us     379.106us         0.07%     379.106us       3.791us           0 b           0 b           0 b           0 b           100            --  
           artiSumInternalContactAndJointBatches2Launch         0.00%       0.000us         0.00%       0.000us       0.000us     360.544us         0.06%     360.544us      11.267us           0 b           0 b           0 b           0 b            32            --  
                                            aten::fill_         0.18%       1.423ms         0.37%       2.923ms       9.910us     355.936us         0.06%     355.936us       1.207us           0 b           0 b           0 b           0 b           295            --  
                      artiSumSelfContactAndJointBatches         0.00%       0.000us         0.00%       0.000us       0.000us     352.571us         0.06%     352.571us      11.018us           0 b           0 b           0 b           0 b            32            --  
carb::gym::(anonymous namespace)::fillActorRootState...         0.00%       0.000us         0.00%       0.000us       0.000us     347.747us         0.06%     347.747us      20.456us           0 b           0 b           0 b           0 b            17            --  
                               artiUpdateLinkDataLaunch         0.00%       0.000us         0.00%       0.000us       0.000us     339.136us         0.06%     339.136us      21.196us           0 b           0 b           0 b           0 b            16            --  
                             markAggregateBoundsUpdated         0.00%       0.000us         0.00%       0.000us       0.000us     326.815us         0.06%     326.815us      10.213us           0 b           0 b           0 b           0 b            32            --  
                                  volta_sgemm_32x128_nn         0.00%       0.000us         0.00%       0.000us       0.000us     323.552us         0.06%     323.552us      20.222us           0 b           0 b           0 b           0 b            16            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     310.496us         0.05%     310.496us      19.406us           0 b           0 b           0 b           0 b            16            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     307.775us         0.05%     307.775us       2.094us           0 b           0 b           0 b           0 b           147            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     298.075us         0.05%     298.075us       3.726us           0 b           0 b           0 b           0 b            80            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     280.993us         0.05%     280.993us       1.222us           0 b           0 b           0 b           0 b           230            --  
                                   translateAABBsLaunch         0.00%       0.000us         0.00%       0.000us       0.000us     278.112us         0.05%     278.112us       8.691us           0 b           0 b           0 b           0 b            32            --  
                                            aten::where         0.18%       1.454ms         0.58%       4.662ms      32.375us     273.566us         0.05%     436.318us       3.030us           0 b           0 b       8.26 Mb     -29.50 Kb           144            --  
           artiSumInternalContactAndJointBatches1Launch         0.00%       0.000us         0.00%       0.000us       0.000us     273.409us         0.05%     273.409us       8.544us           0 b           0 b           0 b           0 b            32            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     271.166us         0.05%     271.166us       1.994us           0 b           0 b           0 b           0 b           136            --  
                                          aten::nonzero         0.13%       1.030ms         0.51%       4.103ms     128.206us     265.792us         0.05%     265.792us       8.306us           0 b           0 b           0 b           0 b            32            --  
                                       bpSignalComplete         0.00%       0.000us         0.00%       0.000us       0.000us     263.233us         0.05%     263.233us       2.742us           0 b           0 b           0 b           0 b            96            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     263.200us         0.05%     263.200us       2.350us           0 b           0 b           0 b           0 b           112            --  
                                 markUpdatedPairsLaunch         0.00%       0.000us         0.00%       0.000us       0.000us     258.686us         0.04%     258.686us       8.084us           0 b           0 b           0 b           0 b            32            --  
                    computeAverageSolverBodyVelocityTGS         0.00%       0.000us         0.00%       0.000us       0.000us     252.066us         0.04%     252.066us       1.969us           0 b           0 b           0 b           0 b           128            --  
void gemmk1_kernel<int, float, 256, 5, false, false,...         0.00%       0.000us         0.00%       0.000us       0.000us     234.940us         0.04%     234.940us      14.684us           0 b           0 b           0 b           0 b            16            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     234.590us         0.04%     234.590us       1.629us           0 b           0 b           0 b           0 b           144            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     231.515us         0.04%     231.515us       2.894us           0 b           0 b           0 b           0 b            80            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     211.428us         0.04%     211.428us       1.590us           0 b           0 b           0 b           0 b           133            --  
